date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
06/14/2023,"Ingrid","10 rounds for time of:3 snatches3 burpees over the bar♀ 95 lb. ♂ 135 lb.",579,"9:39","","","[{""secs"":39,""mins"":9}]","Did EMOM, still got hard at the end. Previous PR in Nov was 15:00 ",RX,PR
06/15/2023,"Annie","50-40-30-20-10 reps for time of:• Double-Unders• Sit-ups",483,"8:03","","","[{""secs"":3,""mins"":8}]","Abs ded from Angie ",RX,PR
06/15/2023,"Deadlift 1x1","Deadlift for load: #1: 1 rep",405,"405","Load","Deadlift","[{""success"":true,""load"":405}]","",RX,
06/15/2023,"Shoulder Press 1x1","Shoulder Press for load: #1: 1 rep",165,"165","Load","Shoulder Press","[{""success"":true,""load"":165}]","Grinder",RX,
06/16/2023,"RILEY","For time:• Run 1.5 miles• 150 burpees• Run 1.5 milesIf youve got a weight vest or body armor, wear it.",2976,"49:36","","","[{""secs"":36,""mins"":49}]","With vest.Yep, as awful as you think.First time running with vest.First time doing burpees with vest.First time doing burpee running sandwich with vest.",RX,PR
06/21/2023,"WOD","7 Minute AMRAP:2 Toes to Bar2 Box Jumps (24/20)4 Toes to Bar2 Box Jumps (24/20)6 Toes to Bar2 Box Jumps (24/20)8 Toes to Bar2 Box Jumps (24/20)10 Toes to Bar2 Box Jumps (24/20)",105,"105","Reps","","[{""reps"":105}]","2 rounds + 5 t2b on the round of 8th. Abs ded.Skill/strength work was 5 rounds of 5 MU + 10 C2W HSP w. ~1min rest",RX,
06/23/2023,"Front Squat 4-2","Front Squat for load: #1: 4 reps #2: 2 reps",225,"225","Load","Front Squat","[{""success"":true,""load"":185},{""success"":true,""load"":225}]","",RX,
06/23/2023,"WOD","21-15-9 reps for time of:• Thruster 95/65#• Pull-ups",445,"7:25","","","[{""secs"":25,""mins"":7}]","I hate thrusters. No amount of stretching allows for good front rack for proper pressing transition. Fml.",RX,PR
06/24/2023,"Eva Strong","With a partner, 5 rounds for time of:24 double-unders (each)19 toes-to-bars (total)2 clean and jerks (total)400-m run (together)♀ 135 lb ♂ 205 lbPost time to comments.",1372,"22:52","","","[{""secs"":52,""mins"":22}]","175lb for me, 65 for her. Doing this at Blink is fun — powerlifting bar that scratches your thighs and can’t be dropped, changing weights every round coz no extra bars, regular treadmill runs",SCALED,
06/27/2023,"WOD","5 ROUNDS:5 Beastmakers (50/35)10 Alternating Pistols400m Run",1245,"20:45","","","[{""secs"":45,""mins"":20}]","35lb",SCALED,
06/28/2023,"WOD","7 Minute AMRAP:4 Turkish Get Ups (53/35)*6 Parallette Passthroughs.REST 30 Seconds.7 Minute AMRAP:4 Wall Walks6 Toes to Bar.REST 30 Seconds",9.008,"9+8","Rounds + Reps","","[{""rnds"":3,""reps"":8},{""rnds"":6}]","Not sure I agree with speed Turkish getups but they served their purpose of pre-fatiguing shoulders for wall walks",RX,
06/29/2023,"Clean & Jerk 1x2","Clean & Jerk for load: #1: 2 reps",195,"195","Load","Clean & Jerk","[{""success"":true,""load"":195}]","TFW you panic on your max set and accidentally power clean the bar 🤦🏻‍♂️",RX,
07/10/2023,"Snatch + Floating Below Knee Snatch 1x1","Snatch + Floating Below Knee Snatch for load: #1: 1 repPerform a full squat snatch from ground, lower barbell below knee and immediately extend into a squat snatch.  Barbell should not touch the ground in between reps.",145,"145","Load","Snatch + Floating Below Knee Snatch","[{""success"":true,""load"":145}]","Hard. Didn’t think I could do all 12 emom at 145 but somehow managed. Grip feels weak, lots of chalk every round.",RX,
07/11/2023,"WOD","3 ROUNDS:400m Run21 KBS (53/35)15 Pull Ups",616,"10:16","","","[{""secs"":16,""mins"":10}]","Working on faster transitions. Pull-ups deteriorated at the end to the point where my body all of a sudden forgot how to kip. If not for that could have been 10 or sub 10 🤷🏻‍♂️ ",RX,
07/14/2023,"Piked DB Shoulder Press","4 ROUNDS:1 Minute AMPRAP: Piked DB Shoulder Press (50/35)",44,"44","Reps","","[{""reps"":44}]","30lb",SCALED,
07/14/2023,"Handstand Hold: Max Time","Handstand Hold: Max Time",15,"0:15","","","[{""secs"":15}]","Free-standing ",RX,PR
07/14/2023,"Front Squat 4-2","Front Squat for load: #1: 4 reps #2: 2 reps",255,"255","Load","Front Squat","[{""success"":true,""load"":185},{""success"":true,""load"":255}]","Had to cross my hands on last two coz Olympic grip is making the bar fall down 😒",RX,
07/14/2023,"WOD","3 ROUNDS:400m Run25 Wall Balls (20/14)12 Pull Ups",692,"11:32","","","[{""secs"":32,""mins"":11}]","This heat is 💀",RX,
07/15/2023,"GALLANT","For time:• Run 1 mile with a 20 pound medicine ball• 60 Burpee pull-ups• Run 800 meters with a 20 pound medicine ball• 30 Burpee pull-ups• Run 400 meters with a 20 pound medicine ball• 15 Burpee pull-ups",2137,"35:37","","","[{""secs"":37,""mins"":35}]","The good: air conditioned gymThe bad (?): 22lb med ball (no 20s around)The ugly: good luck carrying that thing at the end of the 2nd round. However, I like that it exposed imbalance — left shoulder mobility is smth to work on.",RX,PR
07/18/2023,"WOD","14 Minute AMRAP:400m RunMAX REPS:  Weighted Pull Ups (35/20)",37,"37","Reps","","[{""reps"":37}]","10,10,9,8",RX,
07/18/2023,"Back Squat 1x4","Back Squat for load: #1: 4 reps",305,"305","Load","Back Squat","[{""success"":true,""load"":305}]","275,295,275,305,275That 4th set was rough",RX,
07/18/2023,"Push Press 1x2","Push Press for load: #1: 2 reps",185,"185","Load","Push Press","[{""success"":true,""load"":185}]","115,145,165,175,185",RX,
07/20/2023,"Clean & Jerk 1x1","Clean & Jerk for load: #1: 1 rep",215,"215","Load","Clean & Jerk","[{""success"":true,""load"":215}]","Holy shit, 20lb PR on both clean and c&j",RX,
07/21/2023,"Standing DB Shoulder Press","Standing DB Shoulder Press (50/35)",30,"30","Reps","","[{""reps"":10},{""reps"":8},{""reps"":6},{""reps"":6}]","",RX,
07/21/2023,"WOD","7 ROUNDS:250m RowMAX REPS:  Pull Ups",106,"106","Reps","","[{""reps"":106}]","20,15,15,15,15,13,13Finished in 18:00",RX,
07/21/2023,"Handstand Push-ups (Strict): Max Reps","Handstand Push-ups (Strict): Max Reps",34,"34","Reps","","[{""reps"":10},{""reps"":10},{""reps"":8},{""reps"":6}]","",RX,
07/21/2023,"Front Squat 1x1","Front Squat for load: #1: 1 rep",275,"275","Load","Front Squat","[{""success"":true,""load"":275}]","Kurt: use 90% RMMe: loads up 105%",RX,
07/25/2023,"Back Squat 1x4","Back Squat for load: #1: 4 reps",315,"315","Load","Back Squat","[{""success"":true,""load"":315}]","275,315,275,275,275",RX,
07/25/2023,"Push Press 1x2","Push Press for load: #1: 2 reps",185,"185","Load","Push Press","[{""success"":true,""load"":185}]","135,185,135,185,135",RX,
07/26/2023,"Tabata Something Else","Complete 32 intervals of 20 seconds of work followed by ten secondsof rest where:• the first 8 intervals are pull-ups,• the second 8 are push-ups,• the third 8 intervals are sit-ups, and finally,• the last 8 intervals are squats.There is no rest between exercises.",332,"332","Reps","","[{""reps"":332}]","10x4,8x412,12,12,10,10,8,8,108,8,8,8,8,8,8,813,13,13,13,13,13,18,18Could have probably bumped squats on more sets but didn’t wanna kill legs coz tonight is “Brooklyn mile” training on the track 🫠",RX,PR
07/27/2023,"Clean & Jerk 1x1","Clean & Jerk for load: #1: 1 rep",165,"165","Load","Clean & Jerk","[{""success"":true,""load"":165}]","Legs ded from squats+tabata+4mi run yesterday sooooo did power cleans into 2 split jerks. 2x2@115, 2x2@145, 6x2 @165",RX,
07/28/2023,"Front Squat 1x1","Front Squat for load: #1: 1 rep",255,"255","Load","Front Squat","[{""success"":true,""load"":255}]","Failed 285 🫠",RX,
07/28/2023,"Handstand Push-ups (Strict): Max Reps","Handstand Push-ups (Strict): Max Reps",40,"40","Reps","","[{""reps"":10},{""reps"":10},{""reps"":10},{""reps"":10}]","",RX,
07/28/2023,"Standing DB Shoulder Press","Standing DB Shoulder Press (50/35)",29,"29","Reps","","[{""reps"":8},{""reps"":8},{""reps"":8},{""reps"":5}]","",RX,
08/01/2023,"WOD","4 ROUNDS:400m Run6 Wall Walks12 Jumping Alternating Lunges",733,"12:13","","","[{""secs"":13,""mins"":12}]","Need to work on wall walk efficiency and avoid tiny steps at the end ",RX,
08/02/2023,"WOD","12 Minute AMRAP:4 Toes to Bar8 Alternating DB Power Snatch (50/35)2 Lateral Burpee Box Jumps (24/20)",12.004,"12+4","Rounds + Reps","","[{""rnds"":12,""reps"":4}]","",RX,
08/03/2023,"Clean & Jerk 1x1","Clean & Jerk for load: #1: 1 rep",185,"185","Load","Clean & Jerk","[{""success"":true,""load"":185}]","Seems like my body forgot how to clean",RX,
08/04/2023,"Front Squat 1x1","Front Squat for load: #1: 1 rep",275,"275","Load","Front Squat","[{""success"":true,""load"":275}]","245,265,275",RX,
08/04/2023,"Handstand Push-ups (Strict): Max Reps","Handstand Push-ups (Strict): Max Reps",44,"44","Reps","","[{""reps"":11},{""reps"":11},{""reps"":11},{""reps"":11}]","",RX,
08/04/2023,"Standing DB Shoulder Press","Standing DB Shoulder Press (50/35)",27,"27","Reps","","[{""reps"":6},{""reps"":8},{""reps"":6},{""reps"":7}]","Hard to set PR on both 🫠",RX,
08/08/2023,"WOD","14 Minute AMRAP:400m RunMAX REPS:  Weighted Pull Ups (35/20)",36,"36","Reps","","[{""reps"":36}]","11,9,9,7",RX,
08/08/2023,"Push Press 1x2","Push Press for load: #1: 2 reps",155,"155","Load","Push Press","[{""success"":true,""load"":155}]","Did a complex of squat clean into push press into hang squat clean into push press.",RX,
08/08/2023,"Back Squat 1x4","Back Squat for load: #1: 4 reps",275,"275","Load","Back Squat","[{""success"":true,""load"":275}]","",RX,
08/10/2023,"Clean & Jerk 1x1","Clean & Jerk for load: #1: 1 rep",185,"185","Load","Clean & Jerk","[{""success"":true,""load"":185}]","",RX,
08/10/2023,"WOD","7 ROUNDS:30 Double Unders9 Pull Ups5 Deadlifts (225/155)",570,"9:30","","","[{""secs"":30,""mins"":9}]","Me: pft, I can do this in 7minMy body: 😂😭🤮",RX,
08/11/2023,"Handstand Push-ups (Strict): Max Reps","Handstand Push-ups (Strict): Max Reps",12,"12","Reps","","[{""reps"":3},{""reps"":3},{""reps"":3},{""reps"":3}]","Deficit, on parallettes",RX,
08/11/2023,"Front Squat 1x1","Front Squat for load: #1: 1 rep",265,"265","Load","Front Squat","[{""success"":true,""load"":265}]","265 went slow so decided not to push further",RX,
08/11/2023,"WOD","3 ROUNDS:750m Row30 Wall Balls (20/14)10 Wall Walks",1263,"21:03","","","[{""secs"":3,""mins"":21}]","Death",RX,
08/14/2023,"Snatch 1x1","Snatch for load: #1: 1 rep",155,"155","Load","Snatch","[{""success"":true,""load"":155}]","Skipped snatches last week and the body already forgot how to throw shit in the air",RX,
08/14/2023,"WOD","7 ROUNDS:1 Minute CAP:4 Jumping Alternating Lunges12 Wall Balls (20/14)MAX REPS:  Alternating DB Power Snatches (50/35).REST 1 Minute",85,"85","Reps","","[{""reps"":85}]","13,6x12Very refreshing to do a wod with rest",RX,
08/15/2023,"Push Press 1x1","Push Press for load: #1: 1 rep",195,"195","Load","Push Press","[{""success"":true,""load"":195}]","From the rack. Failed 205, which I guess makes sense since my max jerk from the front is 215.",SCALED,
08/15/2023,"Back Squat 1x2","Back Squat for load: #1: 2 reps",315,"315","Load","Back Squat","[{""success"":true,""load"":315}]","Did 335 for a single and it went so slow I chickened out and didn’t push for 2nd. Well, at least there’s 335 which I haven’t touched since probably 2020 and is 30lb away from all time best 365 which I’m slowly crawling back to.",RX,
08/16/2023,"WOD","5 ROUNDS:1.5 Minute AMRAP:3 Burpee Chest to Ring Pull Ups5 Toes to Bar9 Push Ups30 Second REST",8.003,"8+3","Rounds + Reps","","[{""rnds"":2},{""rnds"":2},{""rnds"":2,""reps"":0},{""rnds"":1},{""rnds"":1,""reps"":3}]","This deteriorated fast.Amazing how difficult 5 t2b become after you pair it with movements that require core stabilization.",RX,
08/18/2023,"WOD","1K Row50 KBS (53/35)30 Renegade Rows (50/35)*1K Row.*1 rep = LEFT + RIGHT",807,"13:27","","","[{""secs"":27,""mins"":13}]","Highly dislike renegade rows ",RX,
08/18/2023,"Front Squat 1x1","Front Squat for load: #1: 1 rep",275,"275","Load","Front Squat","[{""success"":true,""load"":275}]","Went deeper than last time, atg ",RX,
08/18/2023,"Handstand Push-ups (Strict): Max Reps","Handstand Push-ups (Strict): Max Reps",60,"60","Reps","","[{""reps"":15},{""reps"":15},{""reps"":15},{""reps"":15}]","Quite a grinder on the last set but somehow squeezed 15. Wet hands floating apart — makes it harder, gotta chalk up next time. 30sec holds.",RX,
08/22/2023,"Back Squat 1x2","Back Squat for load: #1: 2 reps",335,"335","Load","Back Squat","[{""success"":true,""load"":335}]","Without a timer so likely more rest ",SCALED,
08/22/2023,"Push Press 1x1","Push Press for load: #1: 1 rep",175,"175","Load","Push Press","[{""success"":true,""load"":175}]","Without a timer. Dropped the weight to focus on form and technique.",SCALED,
08/23/2023,"WOD","8 ROUNDS:30 Double Unders8 Toes to Bar30 KBS (53/35)12 Pull Ups",900,"15:00","","","[{""secs"":0,""mins"":15}]","4+3Jesus… 80% grip, 20% cardio",RX,
08/30/2023,"WOD","20 Calorie Bike20 Toes to Bar20 DB Thrusters (50/35)18 Calorie Bike18 Toes to Bar18 DB Thrusters....2 Calorie Bike2 Toes to Bar2 DB Thrusters",1080,"18:00","","","[{""secs"":0,""mins"":18}]","190 (20*3+18*3+16*3+14*2)With 24kg kb’s coz this gym doesn’t have db’s where air bikes are.Work capacity absolutely rekt after few days of travel and not sleeping enough…Done in a gym in Montreal",RX,
09/02/2023,"RENE","7 rounds for time of:• Run 400 meters• 21 walking lunges• 15 pull-ups• 9 burpeesIf you have a 20-lb. weight vest or body armor, wear it.",2026,"33:46","","","[{""secs"":46,""mins"":33}]","Peasant version because no vest around. Does this still count as RX?Pleasantly surprised that all pull-ups were unbroken.",RX,PR
09/07/2023,"Clean & Jerk 1x1","Clean & Jerk for load: #1: 1 rep",205,"205","Load","Clean & Jerk","[{""success"":true,""load"":205}]","Bruised my clavicle on the last set because I butchered it. Need to stop being so bad at these.",RX,
09/12/2023,"WOD","3 ROUNDS:400m Run10 Toes to Bar5 Power Cleans (155/105)50 Sit Ups",987,"16:27","","","[{""secs"":27,""mins"":16}]","Why are my sit-ups so atrociously slow? 35 remaining at 15:00 which took 1.5min to complete 🫠",RX,
09/13/2023,"WOD","12 Minute AMRAP:5 Turkish Get Ups (53/35)*10 Single Arm KB Push Press (53/35)*15 Single Arm KB Overhead Squat (53/35)*250m Row.*Use same arm until completion of round.",3.001,"3+1","Rounds + Reps","","[{""rnds"":3,""reps"":1}]","New challenge discovered: slippery getups.Got a 40kg bell recently and practiced jerks with it yesterday, shoulders definitely feeling it on push presses…",RX,
09/20/2023,"WOD","6 ROUNDS:200m Run5 Wall Walks10 Suitcase Deadlift (135/95)*.*Each Round switch side DL is preformed",974,"16:14","","","[{""secs"":14,""mins"":16}]","",RX,
09/21/2023,"WOD","100 Calorie Row50 Burpee Pull Ups50 Step Ups (24/20)100 Double Unders50 Burpee Pull Ups50 Step Ups (24/20)100 Calorie Row",2233,"37:13","","","[{""secs"":13,""mins"":37}]","Terrible. Need to work on my shitty engine.",RX,
09/23/2023,"THE SEVEN","Seven rounds of:• 7 Handstand push-ups• 135/95 pound Thruster, 7 reps• 7 Knees to elbows• 245/165 pound Deadlift, 7 reps• 7 Burpees• 7 Kettlebell swings, 2 pood• 7 Pull-ups",1555,"25:55","","","[{""secs"":55,""mins"":25}]","85 thruster, 135 dl, 24kg swings. Dropped the weights a lot to get some conditioning in. Tried to just take it easy but constantly move. Felt like HR was at 90-95% the entire time so… not great. Thrusters are terrible as usual, HSP are easy as usual, overall cardio is dead as usual. At least kipping pull-ups finally feel seamless. Need to work on efficiency in thrusters, especially when paired with other shoulder stuff (holding the bar in your hands won’t get your far).Was brave/stupid enough to do this after my main weightlifting workout — 3sec paused squats at 8RPE (265x2 tho!) + 5x3 snatches @70% + 5x2+1 c+j @70%yeah…",SCALED,PR
09/26/2023,"WOD","1K ROW100 Pull Ups100 Push Ups100 Sit Ups100 Squats to Medicine Ball1K Row",1827,"30:27","","","[{""secs"":27,""mins"":30}]","Wanted sub 30… oh well",RX,
09/27/2023,"WOD","4 ROUNDS:400m Run10 Push Press (135/95)20 KBS (70/53)",745,"12:25","","","[{""secs"":25,""mins"":12}]","3 rounds x RX except 24kg bell.Pretty sure I’ve never tried 135x10 push press before. Hard, but (barely) doable. Done after paused squats, deficit snatch dl’s and push jerks 🥵",SCALED,
09/28/2023,"WOD","5 ROUNDS:1k Row100 Alternating Single Unders30 Wall Balls (20/14)",2039,"33:59","","","[{""secs"":59,""mins"":33}]","🤮",RX,
09/29/2023,"WOD","4 ROUNDS:1 Cluster (155/105)1 Bar Muscle Up3 Cluster (155/105)3 Bar Muscle Up6  Cluster (155/105)6 Bar Muscle UpREST 1.5 Minutes",895,"14:55","","","[{""secs"":55,""mins"":14}]","Loved this WOD. Classic combo of high skill weightlifting and high skill gymnastics. Managed all 40 muscle ups, likely made possible by plenty of rest between sets and rounds. Midsection definitely dead after so many front squats so need to constantly remind yourself to jerk the knees up.3:30 @1554:05 @1353:40 @1153:40 @95",SCALED,
10/03/2023,"WOD","20 Minute AMRAP:400m Run3 ROUNDS:5 Strict Pull Ups10 Push Ups15 KB Swings (53/35).REST 2 Minutes.8 Minute AMRAP:5 Pull Ups5 Wall Walks",7.005,"7+5","Rounds + Reps","","[{""rnds"":3},{""rnds"":4,""reps"":5}]","Still recovering from spartan race on Sunday.Those wall walks were fucking hard, complete muscular failure.Not sure how I managed all 3 rounds on the first one; right on the clock.Done after paused squats, slow pull snatches and power c&j’s",RX,
10/05/2023,"The Ghost","6 rounds of:1 minute of rowing1 minute of burpees1 minute of double-unders1 minute restTry for as many reps as possible of EACH exercise, not just total score. Post separate totals of calories rowed, burpee reps and double-under reps completed to your notes.",496,"496","Reps","","[{""reps"":496}]","Rowing + burpees = you’re a mashed potato, good luck with those dubs23,21,21,20,20,20 = 12512x6 = 7250,50,50,50,46,53 = 299",RX,PR
10/05/2023,"SWOD","7 ROUNDS:30 Second: Row (calories)60 Second: REST",98,"98","Calories","","[{""calories"":98}]","Reached 1912 at some point 😯 ",RX,
10/10/2023,"WOD","12 Minute AMRAP:4 Toes to Bar10 Sit Ups3 Squat Snatch (135/95)",494,"8:14","","","[{""secs"":14,""mins"":8}]","8 rounds 14 reps",RX,
10/11/2023,"Bench Press 1x6","Bench Press for load: #1: 6 reps",230,"230","Load","Bench Press","[{""success"":true,""load"":230}]","",RX,
10/14/2023,"Fight Gone Bad","Three rounds of:• Wall-ball, 20 pound ball, 10 ft target (Reps)• Sumo deadlift high-pull, 75 pounds (Reps)• Box Jump, 20"" box (Reps)• Push-press, 75 pounds (Reps)• Row (Calories)In this workout you move from each of five stations after a minute.The clock does not reset or stop between exercises. This is a five-minute round from which a one-minute break is allowed before repeating. On call of ""rotate"", the athletes must move to next station immediately for best score. One point is given for each rep, except on the rower where each calorie is one point.",306,"306","Reps","","[{""reps"":306}]","First time doing this. Shoulders ded.103,100,103",RX,PR
10/17/2023,"WOD","3 ROUNDS:500m Row30 Sit Ups20 Toes to Bar10 Wall Walks",1167,"19:27","","","[{""secs"":27,""mins"":19}]","30 sit-ups + 20 t2b = abs ☠️ Unclear how one is supposed to continue to move through that..",RX,
10/18/2023,"Bench Press 1x4","Bench Press for load: #1: 4 reps",245,"245","Load","Bench Press","[{""success"":true,""load"":245}]","",RX,
10/18/2023,"WOD","16 Minute AMRAP:1 Cluster (155/105)3 Front Squats (155/105)MAX REPS:  Shoulder to Overhead (155/105)400m Run",27,"27","Reps","","[{""reps"":27}]","8,8,8,3Failed last cluster so lost few seconds there.What an incredible complex, took the life out of me.",RX,
10/20/2023,"Snatch 1x1","Snatch for load: #1: 1 rep",165,"165","Load","Snatch","[{""success"":true,""load"":165}]","",RX,
10/21/2023,"LUMBERJACK 20","For time: •20 Deadlifts 275/185 lbs•Run 400m•20 KB swings 70/53•Run 400m•20 Overhead Squats 115/80 lbs•Run 400m•20 Burpees•Run 400m•20 Pullups Chest-to-Bar•Run 400m•20 Box jumps 24/20""•Run 400m•20 DB Squat Cleans 50/35 each•Run 400m",1710,"28:30","","","[{""secs"":30,""mins"":28}]","Did not finish 🫠28:30 after the last set of cleans. RX on everything but honestly runs were the worst, deteriorated to 2+ min which is… so slow for me. Cardio just non-existent today.So gassed out couldn’t even think of going on the last run.",SCALED,PR
10/25/2023,"Bench Press 1x3","Bench Press for load: #1: 3 reps",245,"245","Load","Bench Press","[{""success"":true,""load"":245}]","",RX,
10/26/2023,"WOD","500m Row50 box jumps (24/20)50 jumping pull-ups50 kettlebell swings (35/26)50 walking-lunge steps50 knees-to-elbows50 push presses (45/35)50 good mornings (45/35)50 wall-ball shots (20/14)50 burpees50 double-unders500m Row",2090,"34:50","","","[{""secs"":50,""mins"":34}]","Did wall balls after pull-ups coz class was starting. Jumping pull-ups were deficit.Am I so bad or is this a very uneven chipper?Everything <1-2minBurpees: ~8min 🥱 ",SCALED,
10/27/2023,"WOD","10 ROUNDS:30 Second AMRAP:10/7 Calorie BikeMAX REPS: DB Power Cleans (50/35)REST 1 Minute",0,"0","Reps","","[{""reps"":0}]","10,10,10,10,10,10,9,9,9,9 calsUm how is this supposed to work? I mean the quad burn was great…",RX,
10/30/2023,"WOD","5 ROUNDS:3 Power Cleans (155/100)5 Lateral Barbell Burpees250m RowREST 1 Minutes",746,"12:26","","","[{""secs"":26,""mins"":12}]","",RX,
10/30/2023,"Back Squat 1x6","Back Squat for load: #1: 6 reps",255,"255","Load","Back Squat","[{""success"":true,""load"":255}]","3sec pause at the bottom ",RX,
11/03/2023,"RYAN","Five rounds of:•7 Muscle-ups•21 BurpeesEach burpee terminates with a jump one foot above max standing reach.",1113,"18:33","","","[{""secs"":33,""mins"":18}]","Bar muscle ups. 1 foot burpees are sneaky hard. Last set of muscle ups was ugly (pecs tired from all those burpees) but managed. ",SCALED,PR
11/04/2023,"HIDALGO","•Run 2 milesRest 2 minutes•135/95 pound Squat clean, 20 reps•20 Box jump, 24"""" box•20 Walking lunge steps with 45 lb. plate held overhead•20 Box jump, 24"""" box•135/95 pound Squat clean, 20 repsRest 2 minutes •Run 2 milesIf youve got a twenty pound vest or body armor, wear it.",3042,"50:42","","","[{""secs"":42,""mins"":50}]","Death by squat cleans. No vest—I’m not that insane.After 1st run: 16:10Before 2nd run: 33:19",RX,PR
11/06/2023,"Back Squat 1x3","Back Squat for load: #1: 3 reps",275,"275","Load","Back Squat","[{""success"":true,""load"":275}]","1310 tempo",SCALED,
11/07/2023,"WOD","8 ROUNDS:2 Minute AMRAP:3 Bar Muscle Ups3 Power Snatch (135/95)2 Minute REST",15.009,"15+9","Rounds + Reps","","[{""rnds"":15,""reps"":9}]","Ripped my callus on the last set. sooo close to 16 rounds but I didn’t wanna snatch last set with my flesh 🫠The strategy was — 2 rounds per 2 min (rest just enough in between so that 2nd round ends at the end of 2nd min)",RX,
11/08/2023,"WOD","5 ROUNDS:20 Wall Balls (20/14)10 Handstand Push Ups",725,"12:05","","","[{""secs"":5,""mins"":12}]","Thrusters @45 instead of wall ballsStrict HSP ",SCALED,
11/08/2023,"Bench Press 1x3","Bench Press for load: #1: 3 reps",245,"245","Load","Bench Press","[{""success"":true,""load"":245}]","6x3",RX,
11/09/2023,"WOD","4 ROUNDS:.30 Second CAP:Max Calorie BikeREST 30 Seconds.4 Minute CAP:Max Calorie RowREST 1 Minutes.30 Second CAP:Max Alternating Single UndersREST 30 Seconds.4 Minute CAP:Max Calorie RowREST 1 Minute",744,"744","Calories","","[{""calories"":744}]","Count 2 single under as 1:9,70,40,72,8,70,37,709,68,40,679,68,37,70Row=279,276=555Bike=35Jump rope=154=744Basically all legs, nice quad and lower back pump",RX,
11/11/2023,"Barbara","5 rounds for time:• 20 pull-up• 30 hand release push-ups• 40 sit-ups• 50 squats to medicine ballRest 3 minutes between rounds.",2135,"35:35","","","[{""secs"":35,""mins"":35}]","Deceivingly hard ",RX,PR
11/15/2023,"Bench Press 1x2","Bench Press for load: #1: 2 reps",265,"265","Load","Bench Press","[{""success"":true,""load"":265}]","",RX,
11/15/2023,"Diane","21-15-9 reps for time of:• Deadlift 225/155#  • HSPU",322,"5:22","","","[{""secs"":22,""mins"":5}]","Strict HSP ",RX,
11/16/2023,"WOD","14 Minute CAP:3k RowAMRAP: Pull Ups. 12 Minute CAP:2.5k RowAMRAP:  Pull Ups.10 Minute CAP:2k RowAMRAP:  Pull Ups.8 Minute CAP:1.5k RowAMRAP:  Pull Ups.6 Minute CAP1k RowAMRAP:  Pull Ups.4 Minute CAP:500m RowAMRAP: Pull Ups",210,"210","Reps","","[{""reps"":210}]","Push-ups instead of pull-ups.RKC II this weekend so I don’t want to kill my back before snatch test, etc. 40,40,40,30,30,30",SCALED,
11/22/2023,"Clean 1x2","Clean for load: #1: 2 reps",205,"205","Load","Clean","[{""success"":true,""load"":205}]","Losing my grip today but I think that’s a PR",RX,
11/22/2023,"WOD","20 Minute AMRAP:5 Wall Walks 10 Jumping Lunges15 DB Push Press (50/35)",7.001,"7+1","Rounds + Reps","","[{""rnds"":7,""reps"":1}]","💀 8+7 on all sets of PP, 15 on last oneGood: paced myself well on this oneBad: feeling some nerve pinch during PP on the way down; gotta figure out better placement",RX,
11/26/2023,"WOD","For Time (Teams of 2):200 DB Deadlifts160 DB Front Squats120 DB Push Press80 Burpees over Erg40 DB Thusters2000m Row",1849,"30:49","","","[{""secs"":49,""mins"":30}]","40lbsWith Adam",RX,
11/27/2023,"Bear Complex","5 Rounds for Max Load:Each round is 7 unbroken sets of:• 1 Power Clean• 1 Front Squat• 1 Push Press• 1 Back Squat• 1 Push PressYou must hold on to the bar for the entire round.",115,"115","Load","","[{""success"":true,""load"":45},{""success"":true,""load"":95},{""success"":true,""load"":115}]","Deceiving ",RX,PR
11/27/2023,"Back Squat 1x1","Back Squat for load: #1: 1 rep",355,"355","Load","Back Squat","[{""success"":true,""load"":355}]","10lb off of all time PR (and I was 175lb not 185lb) but I’ll take it, considering my cardio is now significantly better",RX,
11/28/2023,"Games: Toes-to-bar/Lunge","30-20-10 reps for time:• Toes-to-bar• Kettlebell lunge W 24-kg kettlebells M 32-kg kettlebellsAthletes must lunge with the kettlebells in the rack position.",473,"7:53","","","[{""secs"":53,""mins"":7}]","☠️ ☠️ ☠️ 24kg",SCALED,PR
11/28/2023,"Open 19.4","For total time:3 rounds of:  10 snatches  12 bar-facing burpeesThen, rest 3 minutes before continuing with:3 rounds of:  10 bar muscle-ups  12 bar-facing burpeesMen snatch 95 lb.Women snatch 65 lb.Time cap: 12 minutesMovement Standards:https://games.crossfit.com/workouts/open/2019/4#movementStandardsScorecard:https://games-assets.crossfit.com/19-4-asodifwehfwo948.pdf",93,"93","Reps","","[{""reps"":93}]","5 muscle ups on 2nd round. Unbroken on everything (including muscle ups) but I guess my snatch singles were too slow 🫠",RX,PR
11/29/2023,"Bench Press 1x1","Bench Press for load: #1: 1 rep",285,"285","Load","Bench Press","[{""success"":true,""load"":285}]","Spotted by Chris. Felt like I have another 5-10lb in the tank.",RX,
12/01/2023,"Snatch 1x1","Snatch for load: #1: 1 rep",175,"175","Load","Snatch","[{""success"":true,""load"":175}]","10lb pr!!!",RX,
12/12/2023,"WOD","21-15-9Row (calories)Front Squat (70% of 3RM)*Handstand Push UpsToes to Bar.*taken from ground",799,"13:19","","","[{""secs"":19,""mins"":13}]","135lb, strict HSP Row: unbrokenFs: 11,10; 8,7; 9HSP: 11,10; 8,7; 9T2b: 11,10; 15; 9",RX,
